8112002,"רשמים ארעיים )01(",4,"?","רשמים ארעיים )11(",2,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33210601,"עובדים עונתיים )2(",2,"?","עובדים עונתיים )1(",1,"?","עובדים עונתיים )3(",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,
98010910,"עבודה בלתי צמיתה - 21",6,"?","עבודה בלתי צמיתה - 12",5,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20270827,"עובדי הוראה - 0002 שעות",1,"?","עובדי הוראה - 0006 שעות",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80140632,"כבישים 688, 998, 458,",2,"?","כבישים 886, 899, 854,",2,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80140631,"כבישים 355, 455, 475",2,"?","כבישים 553, 554, 574",2,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42760106,"השתתפות תקציב 31",4,"?","השתתפות תקציב 13",3,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33220301,"עובדים עונתיים )05(",3,"?","עובדים עונתיים )34(",2,"?","עובדים עונתיים )44(",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,
19040303,"שנה ב' 2008 - מחקרי מדע",2,"?","שנה ב' 2007 - מחקרי מדע",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19040302,"שנה ג' 2007 - מחקרי מדע",2,"?","שנה ג' 2006 - מחקרי מדע",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8112502,"שופטי שלום )01(",3,"?","שופטי שלום )53(",1,"?","שופטי שלום )25(",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,
42090904,"מענקים לבניית 004,1",4,"?","מענקים לבניית 1,400",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80110217,"כביש 75 - נצרת - מגדל",2,"?","כביש 57 - נצרת - מגדל",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80110219,"כביש 722 - התשבי -",2,"?","כביש 227 - התשבי -",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6050415,"היתר בניה נתב""ג 2,000",4,"?","היתר בניה נתב""ג 000,2",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73200309,"פרוייקט החולה 6991",3,"?","פרוייקט החולה 1996",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4016233,"אי סי דבליו 2000",1,"?","אי סי דבליו 0002",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70721008,"השלמת פיתוח לבניה עד 89",2,"?","השלמת פיתוח לבניה עד 98",2,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33220404,"עובדים עונתיים )2(",2,"?","עובדים עונתיים )3(",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20281249,"שכר מדריכים 441 חדשים",2,"?","שכר מדריכים 144 חדשים",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55010203,"הסבה לשנת 0002",1,"?","הסבה לשנת 2000",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13012995,"רזרבה למערכת 2000",4,"?","רזרבה למערכת 0002",3,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470102,"רכישת זכויות גמלה %18.5",11,"?","רכישת זכויות גמלה %5.81",3,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19040304,"שנה א' 2009 - מחקרי",2,"?","שנה א' 2008 - מחקרי",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33210501,"עובדים עונתיים )4(",2,"?","עובדים עונתיים )8(",1,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80140130,"כביש מכבית 174",4,"?","כביש מכבית 471",1,"V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20330206,"הכנסות ערוץ 23",4,"?","הכנסות ערוץ 32",2,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80140614,"כביש מס' 57",2,"?","כביש מס' 75",2,"?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
