שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010103,לשכת הנשיא לשעבר קציר,66,0,0,0,0
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010104,לשכת הנשיא לשעבר נבון,14,0,0,0,0
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010105,לשכת אשת הנשיא לשעבר,12,0,0,0,0
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010106,לשכת אשת הנשיא לשעבר,14,0,0,0,0
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010107,לשכת הנשיא לשעבר - משה,209,0,0,0,0
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,2194,0,0,0,0
2009,01,101,עודף,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",647,0,0,0,0
2009,01,107,יעד ההוצאה העברה לרזרבה כללית,8,לרזרבה כללית,2,אישור ועדה,163,010201,רזרבות,-367,0,0,0,0
2009,01,107,יעד ההוצאה העברה לרזרבה כללית,8,לרזרבה כללית,2,אישור ועדה,163,470101,רזרבה כללית,367,0,0,0,0
2009,01,108,ביצוע החלטת ממשלה לגבי קיצוץ בגובה 2%.,2,קיצוץ לרזרבה,2,אישור ועדה,9000,010109,אמרכלות,-333,0,0,0,0
2009,01,109,תגבור ושינויים פנימיים בתקציב בית הנשיא.,9,מרזרבה כללית,2,אישור ועדה,299,010101,נשיא,0,0,0,0,0
2009,01,109,תגבור ושינויים פנימיים בתקציב בית הנשיא.,9,מרזרבה כללית,2,אישור ועדה,299,010102,לשכת הנשיא,430,0,0,0,0
2009,01,109,תגבור ושינויים פנימיים בתקציב בית הנשיא.,9,מרזרבה כללית,2,אישור ועדה,299,010106,לשכת אשת הנשיא לשעבר,0,0,0,0,0
2009,01,109,תגבור ושינויים פנימיים בתקציב בית הנשיא.,9,מרזרבה כללית,2,אישור ועדה,299,010109,אמרכלות,3820,0,0,0,0
2009,01,109,תגבור ושינויים פנימיים בתקציב בית הנשיא.,9,מרזרבה כללית,2,אישור ועדה,299,010110,"טיסות לחו""ל",2000,1000,-1000,0,0
2009,01,109,תגבור ושינויים פנימיים בתקציב בית הנשיא.,9,מרזרבה כללית,2,אישור ועדה,299,470102,תוכנית מעבר - רזרבה,-6250,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010102,לשכת הנשיא,2325,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010103,לשכת הנשיא לשעבר קציר,50,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010104,לשכת הנשיא לשעבר נבון,149,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010105,לשכת אשת הנשיא לשעבר,63,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010106,לשכת אשת הנשיא לשעבר,-38,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010107,לשכת הנשיא לשעבר - משה,0,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010109,אמרכלות,2454,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,010201,רזרבות,-709,0,0,0,0
2009,01,110,תגבור תקציב השכר בבית הנשיא,9,מרזרבה כללית,2,אישור ועדה,515,470102,תוכנית מעבר - רזרבה,-4294,0,0,0,0
2009,01,111,העברת עודפים לא מחויבים,5,עודפים,3,הודעה לועדה,0,010201,רזרבות,674,0,0,0,0
2009,01,112,העברת עודפים לא מחויבים,8,לרזרבה כללית,2,אישור ועדה,723,010201,רזרבות,-674,0,0,0,0
